Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-08-01,2016,8,1,Monday,31,2016-31,217.19,217.65,216.41,216.94,73311400.0,199.01,-0.0008290579367626894,198.59928571428563,193.22619999999992
2016-08-02,2016,8,2,Tuesday,31,2016-31,216.65,216.83,214.57,215.55,92295500.0,197.74,-0.006407183627002988,198.64071428571424,193.4303999999999
2016-08-03,2016,8,3,Wednesday,31,2016-31,215.48,216.25,215.13,216.18,53993600.0,198.32,0.002922606112115922,198.64499999999998,193.65119999999987
2016-08-04,2016,8,4,Thursday,31,2016-31,216.31,216.78,214.25,216.41,46585500.0,198.53,0.0010639496198157072,198.68285714285713,193.8275999999999
2016-08-05,2016,8,5,Friday,31,2016-31,216.41,218.23,216.41,218.18,71892200.0,200.15,0.008178970452283663,198.79857142857142,194.0107999999999
2016-08-08,2016,8,8,Monday,32,2016-32,218.4,218.52,217.74,218.05,39906500.0,200.03,-0.0005957872694097865,198.92000000000002,194.19039999999993
2016-08-09,2016,8,9,Tuesday,32,2016-32,218.13,218.76,217.8,218.18,51251700.0,200.15,0.0005961424434883789,198.99142857142857,194.3559999999999
2016-08-10,2016,8,10,Wednesday,32,2016-32,218.31,218.4,217.23,217.64,57941100.0,199.66,-0.0024750139093265844,199.08142857142857,194.5191999999999
2016-08-11,2016,8,11,Thursday,32,2016-32,218.26,218.94,217.95,218.65,72504300.0,200.58,0.00464078740305518,199.17357142857142,194.69279999999992
2016-08-12,2016,8,12,Friday,32,2016-32,218.29,218.71,217.99,218.46,61313500.0,200.41,-0.0008691282305325343,199.29214285714284,194.85139999999993
2016-08-15,2016,8,15,Monday,33,2016-33,218.89,219.5,218.88,219.09,49813500.0,200.99,0.002884056570725102,199.44571428571427,195.03299999999993
2016-08-16,2016,8,16,Tuesday,33,2016-33,218.6,218.68,217.96,217.96,53213600.0,199.95,-0.005157681442413797,199.53999999999996,195.17439999999996
2016-08-17,2016,8,17,Wednesday,33,2016-33,218.0,218.53,217.02,218.37,75134300.0,200.33,0.001880894153896806,199.64499999999995,195.31739999999994
2016-08-18,2016,8,18,Thursday,33,2016-33,218.34,218.9,218.21,218.86,52989300.0,200.77,0.0022438932763255703,199.7585714285714,195.45659999999995
2016-08-19,2016,8,19,Friday,33,2016-33,218.31,218.75,217.74,218.54,75443000.0,200.48,-0.001461926526716062,199.86357142857136,195.59519999999998
2016-08-22,2016,8,22,Monday,34,2016-34,218.26,218.8,217.83,218.53,61368800.0,200.47,-4.597090863478481e-05,200.05857142857135,195.77039999999997
2016-08-23,2016,8,23,Tuesday,34,2016-34,219.25,219.6,218.9,218.97,53399200.0,200.88,0.0020134509146652046,200.2414285714285,195.98319999999995
2016-08-24,2016,8,24,Wednesday,34,2016-34,218.8,218.91,217.36,217.85,71728900.0,199.85,-0.005114704267727865,200.33571428571418,196.18299999999996
2016-08-25,2016,8,25,Thursday,34,2016-34,217.4,218.19,217.22,217.7,69224800.0,199.71,-0.0006886173138503926,200.3042857142856,196.38519999999994
2016-08-26,2016,8,26,Friday,34,2016-34,217.92,219.12,216.25,217.29,122506300.0,199.33,-0.0018832935609911505,200.25428571428557,196.56859999999995
2016-08-29,2016,8,29,Monday,35,2016-35,217.44,218.67,217.4,218.36,70502200.0,200.32,0.0049242199235861595,200.26642857142843,196.78599999999992
2016-08-30,2016,8,30,Tuesday,35,2016-35,218.26,218.59,217.35,218.0,58114500.0,199.99,-0.0016486236966709589,200.2899999999999,196.9723999999999
2016-08-31,2016,8,31,Wednesday,35,2016-35,217.61,217.75,216.47,217.38,85269500.0,199.42,-0.002843980788747258,200.20714285714277,197.13639999999992
2016-09-01,2016,9,1,Thursday,35,2016-35,217.37,217.73,216.03,217.39,97844200.0,199.43,4.5910158563700065e-05,200.13714285714278,197.30699999999993
2016-09-02,2016,9,2,Friday,35,2016-35,218.39,218.87,217.7,218.37,79293900.0,200.33,0.004508017573295886,200.0899999999999,197.44579999999993
2016-09-06,2016,9,6,Tuesday,36,2016-36,218.7,219.12,217.86,219.03,56702100.0,200.93,0.0030224272787466866,200.15999999999988,197.73539999999994
2016-09-07,2016,9,7,Wednesday,36,2016-36,218.84,219.22,218.3,219.01,76554900.0,200.91,-9.128050217332984e-05,200.20142857142847,198.0913999999999
2016-09-08,2016,9,8,Thursday,36,2016-36,218.62,218.94,218.15,218.51,74102900.0,200.45,-0.002283056298553632,200.1785714285713,198.37219999999994
2016-09-09,2016,9,9,Friday,36,2016-36,216.97,217.03,213.25,213.28,221589100.0,195.66,-0.023934801245160786,199.83428571428558,198.49379999999994
2016-09-12,2016,9,12,Monday,37,2016-37,212.39,216.81,212.31,216.34,168110900.0,198.46,0.014347115244537134,199.69071428571417,198.6195999999999
2016-09-13,2016,9,13,Tuesday,37,2016-37,214.84,215.15,212.5,213.23,182828800.0,195.61,-0.014375456407324516,199.3142857142856,198.68039999999993
2016-09-14,2016,9,14,Wednesday,37,2016-37,213.29,214.7,212.5,213.15,134185500.0,195.54,-0.00037505362923673236,199.00642857142844,198.76739999999995
